versenum,osis,apoc
246,'Gen.10.11',0
247,'Gen.10.12',0
248,'Gen.10.13',0
249,'Gen.10.14',0
250,'Gen.10.15',0
251,'Gen.10.16',0
252,'Gen.10.17',0
253,'Gen.10.18',0
254,'Gen.10.19',0
255,'Gen.10.20',0
256,'Gen.10.21',0
257,'Gen.10.22',0
258,'Gen.10.23',0
259,'Gen.10.24',0
260,'Gen.10.25',0
261,'Gen.10.26',0
262,'Gen.10.27',0
263,'Gen.10.28',0
264,'Gen.10.29',0
265,'Gen.10.30',0
266,'Gen.10.31',0
267,'Gen.10.32',0
268,'Gen.11.1',0
269,'Gen.11.2',0
270,'Gen.11.3',0
271,'Gen.11.4',0
272,'Gen.11.5',0
273,'Gen.11.6',0
274,'Gen.11.7',0
275,'Gen.11.8',0
276,'Gen.11.9',0
277,'Gen.11.10',0
278,'Gen.11.11',0
279,'Gen.11.12',0
280,'Gen.11.13',0
281,'Gen.11.14',0
282,'Gen.11.15',0
283,'Gen.11.16',0
284,'Gen.11.17',0
285,'Gen.11.18',0
286,'Gen.11.19',0
287,'Gen.11.20',0
288,'Gen.11.21',0
289,'Gen.11.22',0
290,'Gen.11.23',0
291,'Gen.11.24',0
292,'Gen.11.25',0
293,'Gen.11.26',0
294,'Gen.11.27',0
295,'Gen.11.28',0
296,'Gen.11.29',0
297,'Gen.11.30',0
298,'Gen.11.31',0
299,'Gen.11.32',0
300,'Gen.12.1',0
301,'Gen.12.2',0
302,'Gen.12.3',0
303,'Gen.12.4',0
304,'Gen.12.5',0
305,'Gen.12.6',0
306,'Gen.12.7',0
307,'Gen.12.8',0
308,'Gen.12.9',0
309,'Gen.12.10',0
310,'Gen.12.11',0
311,'Gen.12.12',0
312,'Gen.12.13',0
313,'Gen.12.14',0
314,'Gen.12.15',0
315,'Gen.12.16',0
316,'Gen.12.17',0
317,'Gen.12.18',0
318,'Gen.12.19',0
319,'Gen.12.20',0
320,'Gen.13.1',0
321,'Gen.13.2',0
322,'Gen.13.3',0
323,'Gen.13.4',0
324,'Gen.13.5',0
325,'Gen.13.6',0
326,'Gen.13.7',0
327,'Gen.13.8',0
328,'Gen.13.9',0
329,'Gen.13.10',0
330,'Gen.13.11',0
331,'Gen.13.12',0
332,'Gen.13.13',0
333,'Gen.13.14',0
334,'Gen.13.15',0
335,'Gen.13.16',0
336,'Gen.13.17',0
337,'Gen.13.18',0
338,'Gen.14.1',0
339,'Gen.14.2',0
340,'Gen.14.3',0
341,'Gen.14.4',0
342,'Gen.14.5',0
343,'Gen.14.6',0
344,'Gen.14.7',0
345,'Gen.14.8',0
346,'Gen.14.9',0
347,'Gen.14.10',0
348,'Gen.14.11',0
349,'Gen.14.12',0
350,'Gen.14.13',0
351,'Gen.14.14',0
352,'Gen.14.15',0
353,'Gen.14.16',0
354,'Gen.14.17',0
355,'Gen.14.18',0
356,'Gen.14.19',0
357,'Gen.14.20',0
358,'Gen.14.21',0
359,'Gen.14.22',0
360,'Gen.14.23',0
361,'Gen.14.24',0
362,'Gen.15.1',0
363,'Gen.15.2',0
364,'Gen.15.3',0
365,'Gen.15.4',0
366,'Gen.15.5',0
367,'Gen.15.6',0
368,'Gen.15.7',0
369,'Gen.15.8',0
370,'Gen.15.9',0
371,'Gen.15.10',0
372,'Gen.15.11',0
373,'Gen.15.12',0
374,'Gen.15.13',0
375,'Gen.15.14',0
376,'Gen.15.15',0
377,'Gen.15.16',0
378,'Gen.15.17',0
379,'Gen.15.18',0
380,'Gen.15.19',0
381,'Gen.15.20',0
382,'Gen.15.21',0
383,'Gen.16.1',0
384,'Gen.16.2',0
385,'Gen.16.3',0
386,'Gen.16.4',0
387,'Gen.16.5',0
388,'Gen.16.6',0
389,'Gen.16.7',0
390,'Gen.16.8',0
391,'Gen.16.9',0
392,'Gen.16.10',0
393,'Gen.16.11',0
394,'Gen.16.12',0
395,'Gen.16.13',0
396,'Gen.16.14',0
397,'Gen.16.15',0
398,'Gen.16.16',0
399,'Gen.17.1',0
400,'Gen.17.2',0
401,'Gen.17.3',0
402,'Gen.17.4',0
403,'Gen.17.5',0
404,'Gen.17.6',0
405,'Gen.17.7',0
406,'Gen.17.8',0
407,'Gen.17.9',0
408,'Gen.17.10',0
409,'Gen.17.11',0
410,'Gen.17.12',0
411,'Gen.17.13',0
412,'Gen.17.14',0
413,'Gen.17.15',0
414,'Gen.17.16',0
415,'Gen.17.17',0
416,'Gen.17.18',0
417,'Gen.17.19',0
418,'Gen.17.20',0
419,'Gen.17.21',0
420,'Gen.17.22',0
421,'Gen.17.23',0
422,'Gen.17.24',0
423,'Gen.17.25',0
424,'Gen.17.26',0
425,'Gen.17.27',0
426,'Gen.18.1',0
427,'Gen.18.2',0
428,'Gen.18.3',0
429,'Gen.18.4',0
430,'Gen.18.5',0
431,'Gen.18.6',0
432,'Gen.18.7',0
433,'Gen.18.8',0
434,'Gen.18.9',0
435,'Gen.18.10',0
436,'Gen.18.11',0
437,'Gen.18.12',0
438,'Gen.18.13',0
439,'Gen.18.14',0
440,'Gen.18.15',0
441,'Gen.18.16',0
442,'Gen.18.17',0
443,'Gen.18.18',0
444,'Gen.18.19',0
445,'Gen.18.20',0
446,'Gen.18.21',0
447,'Gen.18.22',0
448,'Gen.18.23',0
449,'Gen.18.24',0
450,'Gen.18.25',0
451,'Gen.18.26',0
452,'Gen.18.27',0
453,'Gen.18.28',0
454,'Gen.18.29',0
455,'Gen.18.30',0
456,'Gen.18.31',0
457,'Gen.18.32',0
458,'Gen.18.33',0
459,'Gen.19.1',0
460,'Gen.19.2',0
461,'Gen.19.3',0
462,'Gen.19.4',0
463,'Gen.19.5',0
464,'Gen.19.6',0
465,'Gen.19.7',0
466,'Gen.19.8',0
467,'Gen.19.9',0
468,'Gen.19.10',0
469,'Gen.19.11',0
470,'Gen.19.12',0
471,'Gen.19.13',0
472,'Gen.19.14',0
473,'Gen.19.15',0
474,'Gen.19.16',0
475,'Gen.19.17',0
476,'Gen.19.18',0
477,'Gen.19.19',0
478,'Gen.19.20',0
479,'Gen.19.21',0
480,'Gen.19.22',0
481,'Gen.19.23',0
482,'Gen.19.24',0
483,'Gen.19.25',0
484,'Gen.19.26',0
485,'Gen.19.27',0
486,'Gen.19.28',0
487,'Gen.19.29',0
488,'Gen.19.30',0
489,'Gen.19.31',0
490,'Gen.19.32',0
491,'Gen.19.33',0
492,'Gen.19.34',0
493,'Gen.19.35',0
494,'Gen.19.36',0
495,'Gen.19.37',0
496,'Gen.19.38',0
497,'Gen.20.1',0
498,'Gen.20.2',0
499,'Gen.20.3',0
500,'Gen.20.4',0
501,'Gen.20.5',0
502,'Gen.20.6',0
503,'Gen.20.7',0
504,'Gen.20.8',0
505,'Gen.20.9',0
506,'Gen.20.10',0
507,'Gen.20.11',0
508,'Gen.20.12',0
509,'Gen.20.13',0
510,'Gen.20.14',0
511,'Gen.20.15',0
512,'Gen.20.16',0
513,'Gen.20.17',0
514,'Gen.20.18',0
515,'Gen.21.1',0
516,'Gen.21.2',0
517,'Gen.21.3',0
518,'Gen.21.4',0
519,'Gen.21.5',0
520,'Gen.21.6',0
521,'Gen.21.7',0
522,'Gen.21.8',0
523,'Gen.21.9',0
524,'Gen.21.10',0
525,'Gen.21.11',0
526,'Gen.21.12',0
527,'Gen.21.13',0
528,'Gen.21.14',0
529,'Gen.21.15',0
530,'Gen.21.16',0
531,'Gen.21.17',0
532,'Gen.21.18',0
533,'Gen.21.19',0
534,'Gen.21.20',0
535,'Gen.21.21',0
536,'Gen.21.22',0
537,'Gen.21.23',0
538,'Gen.21.24',0
539,'Gen.21.25',0
540,'Gen.21.26',0
541,'Gen.21.27',0
542,'Gen.21.28',0
543,'Gen.21.29',0
544,'Gen.21.30',0
545,'Gen.21.31',0
546,'Gen.21.32',0
547,'Gen.21.33',0
548,'Gen.21.34',0
549,'Gen.22.1',0
550,'Gen.22.2',0
551,'Gen.22.3',0
552,'Gen.22.4',0
553,'Gen.22.5',0
554,'Gen.22.6',0
555,'Gen.22.7',0
556,'Gen.22.8',0
557,'Gen.22.9',0
558,'Gen.22.10',0
559,'Gen.22.11',0
560,'Gen.22.12',0
561,'Gen.22.13',0
562,'Gen.22.14',0
563,'Gen.22.15',0
564,'Gen.22.16',0
565,'Gen.22.17',0
566,'Gen.22.18',0
567,'Gen.22.19',0
568,'Gen.22.20',0
569,'Gen.22.21',0
570,'Gen.22.22',0
571,'Gen.22.23',0
572,'Gen.22.24',0
573,'Gen.23.1',0
574,'Gen.23.2',0
575,'Gen.23.3',0
576,'Gen.23.4',0
577,'Gen.23.5',0
578,'Gen.23.6',0
579,'Gen.23.7',0
580,'Gen.23.8',0
581,'Gen.23.9',0
582,'Gen.23.10',0
583,'Gen.23.11',0
584,'Gen.23.12',0
585,'Gen.23.13',0
586,'Gen.23.14',0
587,'Gen.23.15',0
588,'Gen.23.16',0
589,'Gen.23.17',0
590,'Gen.23.18',0
591,'Gen.23.19',0
592,'Gen.23.20',0
593,'Gen.24.1',0
594,'Gen.24.2',0
595,'Gen.24.3',0
596,'Gen.24.4',0
597,'Gen.24.5',0
598,'Gen.24.6',0
599,'Gen.24.7',0
600,'Gen.24.8',0
601,'Gen.24.9',0
602,'Gen.24.10',0
603,'Gen.24.11',0
604,'Gen.24.12',0
605,'Gen.24.13',0
606,'Gen.24.14',0
607,'Gen.24.15',0
608,'Gen.24.16',0
609,'Gen.24.17',0
610,'Gen.24.18',0
611,'Gen.24.19',0
612,'Gen.24.20',0
613,'Gen.24.21',0
614,'Gen.24.22',0
615,'Gen.24.23',0
616,'Gen.24.24',0
617,'Gen.24.25',0
618,'Gen.24.26',0
619,'Gen.24.27',0
620,'Gen.24.28',0
621,'Gen.24.29',0
622,'Gen.24.30',0
623,'Gen.24.31',0
624,'Gen.24.32',0
625,'Gen.24.33',0
626,'Gen.24.34',0
627,'Gen.24.35',0
628,'Gen.24.36',0
629,'Gen.24.37',0
630,'Gen.24.38',0
631,'Gen.24.39',0
632,'Gen.24.40',0
633,'Gen.24.41',0
634,'Gen.24.42',0
635,'Gen.24.43',0
636,'Gen.24.44',0
637,'Gen.24.45',0
638,'Gen.24.46',0
639,'Gen.24.47',0
640,'Gen.24.48',0
641,'Gen.24.49',0
642,'Gen.24.50',0
643,'Gen.24.51',0
644,'Gen.24.52',0
645,'Gen.24.53',0
646,'Gen.24.54',0
647,'Gen.24.55',0
648,'Gen.24.56',0
649,'Gen.24.57',0
650,'Gen.24.58',0
651,'Gen.24.59',0
652,'Gen.24.60',0
653,'Gen.24.61',0
654,'Gen.24.62',0
655,'Gen.24.63',0
656,'Gen.24.64',0
